proletcult_opinion;Proletcult Opinion;;;;;;;;;;;;;x
change_workers_saint;Choose your Worker-Saint;;;;;;;;;;;;;x
change_workers_saint_desc;For many years, Proletcultists have honored their leaders as workers' saints—people who did much for workers and their brethren. You, as one of them, can also choose a saint whom you will especially honor and emulate.;;;;;;;;;;;;;x
EVTDESC_proletcult1;For many years, Proletcultists have honored their leaders as workers' saints—people who did much for workers and their brethren. You, as one of them, can also choose a saint whom you will especially honor and emulate.;;;;;;;;;;;;;x
EVTOPTA_proletcult1;I will follow eternal-living Lenin;;;;;;;;;;;;;x
EVTOPTB_proletcult1;I will be a student of master Molotov;;;;;;;;;;;;;x
EVTOPTC_proletcult1;I will be a soldier of the Marshal;;;;;;;;;;;;;x
EVTOPTD_proletcult1;I will be a scientist of doctor Lysenko;;;;;;;;;;;;;x
EVTOPTE_proletcult1;I will be a comrade of General Secretary Khrushchev;;;;;;;;;;;;;x
worker_saint_lenin;Eternal-Living Lenin;;;;;;;;;;;;;x
worker_saint_lenin_desc;This character has chosen to focus on the organisationa virtues and take inspiration from the Eternal-Living Lenin who lit the fire of revolution in Russia and after he had finished what he had started, he fell asleep in the basement of Moscow and was about to wake up from his sleep when the proletcultists were in ruins and everything seemed lost.;;;;;;;;;;;;;x
worker_saint_molotov;Master Molotov;;;;;;;;;;;;;x
worker_saint_molotov_desc;This character has chosen to focus on the diplomatic abilities and virtues of tongue and take inspiration from Master Molotov - great diplomat and leader of Sayuz diplomacy for a decades. According to legends, Master Molotov known twenty languages and invented his own alcohol drink - Molotov cocktail that was supposed to be drunk by worker fighters before bloody battles.;;;;;;;;;;;;;x
worker_saint_the_marshal;The Great Marshal;;;;;;;;;;;;;x
worker_saint_the_marshal_desc;This character has chosen to focus on soldiers' virtues and take inspiration from the Marshal - legendary commander who served Soyuz and fought during Revolution and Great Patriotic War as main commander.;;;;;;;;;;;;;x
worker_saint_lysenko;Doctor Lysenko;;;;;;;;;;;;;x
worker_saint_lysenko_desc;This character has chosen to focus on contemplative virtues and take inspiration from Doctor Lysenko - great medician and astrologian who according to legends, contributed to tripling the grain harvest at Soyuz and discovered that the earth revolves around the sun, not the other way around.;;;;;;;;;;;;;x
warrior_lodge_proletcult;Red Army;;;;;;;;;;;;;x
warrior_lodge_proletcult_desc;Before the Event, there existed a vast, powerful army composed of fearless, terrifyingly strong men and women—a collective of worker-saints whose mission was to uphold the rights of the people. Although that Red Army is gone, today there is a new Red Army, which, though a shadow of the former, strives to keep pace with the old, glorious Soyuz Army. Members of the Red Army train, fight, and seek glory for themselves, but above all, for the collective in which they live and hone their skills.;;;;;;;;;;;;;x
warrior_lodge_proletcult_rank_1_male;Comrade;;;;;;;;;;;;;x
warrior_lodge_proletcult_rank_2_male;Political Officer;;;;;;;;;;;;;x
warrior_lodge_proletcult_rank_3_male;Colonel;;;;;;;;;;;;;x
warrior_lodge_proletcult_rank_4_male;Marshall;;;;;;;;;;;;;x
warrior_lodge_proletcult_rank_1_female;Comrade;;;;;;;;;;;;;x
warrior_lodge_proletcult_rank_2_female;Political Officer;;;;;;;;;;;;;x
warrior_lodge_proletcult_rank_3_female;Colonel;;;;;;;;;;;;;x
warrior_lodge_proletcult_rank_4_female;Marshall;;;;;;;;;;;;;x
currency_name_warrior_lodge_proletcult;Patriotism;;;;;;;;;;;;;x
celebrate_victory_day;Celebrate Victory Day;;;;;;;;;;;;;x
celebrate_victory_day_desc;Many years ago, Russia was threatened with complete annihilation at the hands of the cruel German horde, and only the courage and suffering of russian soldiers, mothers and children saved Russia's existence. Today is the time to start preparation to celebration of this special day in May on which the last legions of brown Germany were decimated, and the russian warriors raised their banners and announced their victory to the world.;;;;;;;;;;;;;x
EVTTITLE_proletcult2;Victory Day;;;;;;;;;;;;;x
EVTDESC_proletcult2;Many years ago, when all of Russia was united under the enlightened leadership of our leaders, a cruel horde invaded Russian soil, led by a cruel generals who murdered everyone in his path and sought to raze all of Russia to the ground and transform it in his image. However, the the heroic legionnaires of Russia drove this horde back to the gates of Berlin. Today is the time to prepare for the celebrations that will commemorate this victory—this Victory Day. The saint tradition dictates that this day should not be celebrated alone, but with other friends, so you should send invitations to other comrades from your realm.;;;;;;;;;;;;;x
EVTOPTA_proletcult2;Send out the invitations!;;;;;;;;;;;;;x
EVTTOOLTIP_proletcult2;[ROOT.GetName] is invited.;;;;;;;;;;;;;x
EVTDESC_proletcult3;Dear [ROOT.GetName], you are hereby solemnly invited to our glorious celebration of Victory Day.;;;;;;;;;;;;;x
EVTOPTA_proletcult3;By [ROOT.Religion.GetRandomGodName], I will make sure to attend!;;;;;;;;;;;;;x
EVTOPTB_proletcult3;I do not have the time for such ridiculous celebrations.;;;;;;;;;;;;;x
EVTDESC_proletcult4;[FROM.GetName] has refused my invitation to Victory Day, what a disgrace!;;;;;;;;;;;;;x
EVTOPTA_proletcult4;Curses!;;;;;;;;;;;;;x
EVTNAME_proletcult_5;Parade;;;;;;;;;;;;;x
