###ÄNSI
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

count_british;Viscount;;;;;;;;;;;;;x
count_female_british;Viscountess;;;;;;;;;;;;;x
king_british;Prince;;;;;;;;;;;;;x
king_female_british;Princess;;;;;;;;;;;;;x
kingdom_of_british;Dominion of;;;;;;;;;;;;;x
kingdom_british;Dominion;;;;;;;;;;;;;x
emperor_british;King;;;;;;;;;;;;;x
emperor_female_british;Queen;;;;;;;;;;;;;x
empire_british;Kingdom;;;;;;;;;;;;;x
empire_of_british;Kingdom of;;;;;;;;;;;;;x
count_midlander;Viscount;;;;;;;;;;;;;x
count_female_midlander;Viscountess;;;;;;;;;;;;;x
king_midlander;Prince;;;;;;;;;;;;;x
king_female_midlander;Princess;;;;;;;;;;;;;x
kingdom_of_midlander;Dominion of;;;;;;;;;;;;;x
kingdom_midlander;Dominion;;;;;;;;;;;;;x
emperor_midlander;King;;;;;;;;;;;;;x
emperor_female_midlander;Queen;;;;;;;;;;;;;x
empire_midlander;Kingdom;;;;;;;;;;;;;x
empire_of_midlander;Kingdom of;;;;;;;;;;;;;x
count_northerner;Viscount;;;;;;;;;;;;;x
count_female_northerner;Viscountess;;;;;;;;;;;;;x
king_northerner;Prince;;;;;;;;;;;;;x
king_female_northerner;Princess;;;;;;;;;;;;;x
kingdom_of_northerner;Dominion of;;;;;;;;;;;;;x
kingdom_northerner;Dominion;;;;;;;;;;;;;x
emperor_northerner;King;;;;;;;;;;;;;x
emperor_female_northerner;Queen;;;;;;;;;;;;;x
empire_northerner;Kingdom;;;;;;;;;;;;;x
empire_of_northerner;Kingdom of;;;;;;;;;;;;;x
count_scouse;Viscount;;;;;;;;;;;;;x
count_female_scouse;Viscountess;;;;;;;;;;;;;x
king_scouse;Prince;;;;;;;;;;;;;x
king_female_scouse;Princess;;;;;;;;;;;;;x
kingdom_of_scouse;Dominion of;;;;;;;;;;;;;x
kingdom_scouse;Dominion;;;;;;;;;;;;;x
emperor_scouse;King;;;;;;;;;;;;;x
emperor_female_scouse;Queen;;;;;;;;;;;;;x
empire_scouse;Kingdom;;;;;;;;;;;;;x
empire_of_scouse;Kingdom of;;;;;;;;;;;;;x
count_southerner;Viscount;;;;;;;;;;;;;x
count_female_southerner;Viscountess;;;;;;;;;;;;;x
king_southerner;Prince;;;;;;;;;;;;;x
king_female_southerner;Princess;;;;;;;;;;;;;x
kingdom_of_southerner;Dominion of;;;;;;;;;;;;;x
kingdom_southerner;Dominion;;;;;;;;;;;;;x
emperor_southerner;King;;;;;;;;;;;;;x
emperor_female_southerner;Queen;;;;;;;;;;;;;x
empire_southerner;Kingdom;;;;;;;;;;;;;x
empire_of_southerner;Kingdom of;;;;;;;;;;;;;x
count_westerner;Viscount;;;;;;;;;;;;;x
count_female_westerner;Viscountess;;;;;;;;;;;;;x
king_westerner;Prince;;;;;;;;;;;;;x
king_female_westerner;Princess;;;;;;;;;;;;;x
kingdom_of_westerner;Dominion of;;;;;;;;;;;;;x
kingdom_westerner;Dominion;;;;;;;;;;;;;x
emperor_westerner;King;;;;;;;;;;;;;x
emperor_female_westerner;Queen;;;;;;;;;;;;;x
empire_westerner;Kingdom;;;;;;;;;;;;;x
empire_of_westerner;Kingdom of;;;;;;;;;;;;;x

city_count_irish;Ard-Chathaoirleach;;;;;;;;;;;;;x
city_count_female_irish;Ard-Chathaoirleach;;;;;;;;;;;;;x
city_duke_irish;Teachta Dála;;;;;;;;;;;;;x
city_duke_female_irish;Teachta Dála;;;;;;;;;;;;;x
city_king_irish;Uachtarán;;;;;;;;;;;;;x
city_king_female_irish;Uachtarán;;;;;;;;;;;;;x
city_emperor_irish;Ard Uachtarán;;;;;;;;;;;;;x
city_emperor_female_irish;Ard Uachtarán;;;;;;;;;;;;;x

baron_irish;Tiarna;;;;;;;;;;;;;x
baron_female_irish;Bantiarna;;;;;;;;;;;;;x
barony_of_irish;Tiarnas of;;;;;;;;;;;;;x
barony_irish;Tiarnas;;;;;;;;;;;;;x
count_irish;Ardtiarna;;;;;;;;;;;;;x
count_female_irish;Ard Bantiarna;;;;;;;;;;;;;x
county_of_irish;Contaetha of;;;;;;;;;;;;;x
county_irish;Contaetha;;;;;;;;;;;;;x
duke_irish;Flaith;;;;;;;;;;;;;x
duke_female_irish;Banfhlaith;;;;;;;;;;;;;x
duchy_of_irish;Cúige of;;;;;;;;;;;;;x
duchy_irish;Cúige;;;;;;;;;;;;;x
king_irish;Rí;;;;;;;;;;;;;x
king_female_irish;Banríon;;;;;;;;;;;;;x
kingdom_of_irish;Ríocht of;;;;;;;;;;;;;x
kingdom_irish;Ríocht;;;;;;;;;;;;;x
emperor_irish;Ard Rí;;;;;;;;;;;;;x
emperor_female_irish;Ard Bhanríon;;;;;;;;;;;;;x
empire_irish;Ard Ríocht;;;;;;;;;;;;;x
empire_of_irish;Ard Ríocht of;;;;;;;;;;;;;x

count_ulsterman;Viscount;;;;;;;;;;;;;x
count_female_ulsterman;Viscountess;;;;;;;;;;;;;x
king_ulsterman;Prince;;;;;;;;;;;;;x
king_female_ulsterman;Princess;;;;;;;;;;;;;x
kingdom_of_ulsterman;Dominion of;;;;;;;;;;;;;x
kingdom_ulsterman;Dominion;;;;;;;;;;;;;x
emperor_ulsterman;King;;;;;;;;;;;;;x
emperor_female_ulsterman;Queen;;;;;;;;;;;;;x
empire_ulsterman;Kingdom;;;;;;;;;;;;;x
empire_of_ulsterman;Kingdom of;;;;;;;;;;;;;x

baron_pavee;Tiarna;;;;;;;;;;;;;x
baron_female_pavee;Bantiarna;;;;;;;;;;;;;x
barony_of_pavee;Tiarnas of;;;;;;;;;;;;;x
barony_pavee;Tiarnas;;;;;;;;;;;;;x
count_pavee;Ardtiarna;;;;;;;;;;;;;x
count_female_pavee;Ard Bantiarna;;;;;;;;;;;;;x
county_of_pavee;Contaetha of;;;;;;;;;;;;;x
county_pavee;Contaetha;;;;;;;;;;;;;x
duke_pavee;Flaith;;;;;;;;;;;;;x
duke_female_pavee;Banfhlaith;;;;;;;;;;;;;x
duchy_of_pavee;Cúige of;;;;;;;;;;;;;x
duchy_pavee;Cúige;;;;;;;;;;;;;x
king_pavee;Rí;;;;;;;;;;;;;x
king_female_pavee;Banríon;;;;;;;;;;;;;x
kingdom_of_pavee;Ríocht of;;;;;;;;;;;;;x
kingdom_pavee;Ríocht;;;;;;;;;;;;;x
emperor_pavee;Ard Rí;;;;;;;;;;;;;x
emperor_female_pavee;Ard Bhanríon;;;;;;;;;;;;;x
empire_pavee;Ard Ríocht;;;;;;;;;;;;;x
empire_of_pavee;Ard Ríocht of;;;;;;;;;;;;;x

count_jacobin;Comissaire-Comte;;;;;;;;;;;;;x
count_female_jacobin;Comissaire-Comtesse;;;;;;;;;;;;;x
duke_jacobin;Préfet-Chef;;;;;;;;;;;;;x
duke_female_jacobin;Préfète-Cheffe;;;;;;;;;;;;;x
king_female_jacobin;Princesse-Présidente;;;;;;;;;;;;;x
king_jacobin;Prince-Président;;;;;;;;;;;;;x
county_jacobin;Comissariat;;;;;;;;;;;;;x
county_of_jacobin;Comissariat of;;;;;;;;;;;;;x
duchy_jacobin;Préfecture;;;;;;;;;;;;;x
duchy_of_jacobin;Prefécture of;;;;;;;;;;;;;x
kingdom_jacobin;Principauté;;;;;;;;;;;;;x
kingdom_of_jacobin;Principauté of;;;;;;;;;;;;;x

count_chronicler;Lineman;;;;;;;;;;;;;x
count_female_chronicler;Linewoman;;;;;;;;;;;;;x
duke_chronicler;Foreman;;;;;;;;;;;;;x
duke_female_chronicler;Forewoman;;;;;;;;;;;;;x
king_chronicler;Director;;;;;;;;;;;;;x
king_female_chronicler;Directress;;;;;;;;;;;;;x

emperor_sun_king_cultist;Haut Roi;;;;;;;;;;;;;x
empire_sun_king_cultist;Haute Royauté;;;;;;;;;;;;;x
empire_of_sun_king_cultist;Haute Royauté of;;;;;;;;;;;;;x
county_sun_king_cultist;Domaine;;;;;;;;;;;;;x
county_of_sun_king_cultist;Domaine of;;;;;;;;;;;;;x
count_sun_king_cultist;Châtelain;;;;;;;;;;;;;x
duke_sun_king_cultist;Prince;;;;;;;;;;;;;x
duchy_sun_king_cultist;Principauté;;;;;;;;;;;;;x
king_sun_king_cultist;Roi Solaire;;;;;;;;;;;;;x
king_female_sun_king_cultist;Reine Solaire;;;;;;;;;;;;;x
kingdom_sun_king_cultist;Royauté;;;;;;;;;;;;;x
kingdom_of_sun_king_cultist;Royauté of;;;;;;;;;;;;;x

count_basque;Konde;;;;;;;;;;;;;x
count_female_basque;Kondesa;;;;;;;;;;;;;x
county_basque;Konderri;;;;;;;;;;;;;x
county_of_basque;Konderri of;;;;;;;;;;;;;x
duke_basque;Dukea;;;;;;;;;;;;;x
duke_female_basque;Dukesa;;;;;;;;;;;;;x
duchy_basque;Dukerria;;;;;;;;;;;;;x
duchy_of_basque;Dukerria of;;;;;;;;;;;;;x
