#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
democratic_feudal_government;Commonwealth;;;;;;;;;;;x
democratic_feudal_government_desc;In a commonwealth, all free people can vote, in principle. In practice, this power is often wielded for them by professional politicians.;;;;;;;;;;;x
popular_elective;Popular Elective;;;;;;;;;;;x
succ_popular_elective;Popular Elective;;;;;;;;;;;x
succ_popular_elective_desc;All free citizens are voters, but in practice their votes are readily bought by politicians. Those who control cities have great electoral sway.;;;;;;;;;;;x
tooltip_feudal_elector_pro_vote_ruler_possessed;Chosen by a ruler possessed by a powerful spirit;;;;;;;;;;;x
tooltip_feudal_elector_pro_vote_ruler_tyrant;Chosen by an admirably ruthless tyrant;;;;;;;;;;;x
tooltip_feudal_vote_strength_magocracy_learning;[From.GetFirstName] is very learned;;;;;;;;;;;x
tooltip_feudal_elector_vote_possessed_warlock;[From.GetFirstName] is possessed by a powerful spirit;;;;;;;;;;;x
tooltip_feudal_elector_vote_evil_positive;I like [From.GetFirstName]'s attitude;;;;;;;;;;;x
tooltip_feudal_elector_vote_deceitful_positive;[From.GetFirstName] is not bound by truthfulness;;;;;;;;;;;x
tooltip_feudal_elector_vote_cruel_positive;[From.GetFirstName] is delightfully cruel;;;;;;;;;;;x
tooltip_feudal_elector_vote_current_ruler_dynasty;The title should remain with the [From.GetOnlyDynastyName] dynasty;;;;;;;;;;;x
tooltip_divine_vote_strength_cleric;[Root.GetFirstName] is a servant of the gods;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_1_castle;[Root.GetFirstName] controls a castle;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_2_castles;[Root.GetFirstName] controls two castles;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_3_castles;[Root.GetFirstName] controls three castles;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_4_castles;[Root.GetFirstName] controls four castles;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_5_castles;[Root.GetFirstName] controls five castles;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_1_city;[Root.GetFirstName] controls a city;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_2_cities;[Root.GetFirstName] controls two cities;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_3_cities;[Root.GetFirstName] controls three cities;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_4_cities;[Root.GetFirstName] controls four cities;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_5_cities;[Root.GetFirstName] controls five cities;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_2_temples;[Root.GetFirstName] controls two temples;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_3_temples;[Root.GetFirstName] controls three temples;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_4_temples;[Root.GetFirstName] controls four temples;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_5_temples;[Root.GetFirstName] controls five temples;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_1_tribe;[Root.GetFirstName] controls a tribe;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_2_tribes;[Root.GetFirstName] controls two tribes;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_3_tribes;[Root.GetFirstName] controls three tribes;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_4_tribes;[Root.GetFirstName] controls four tribes;;;;;;;;;;;x
tooltip_popular_elector_vote_strength_5_tribes;[Root.GetFirstName] controls five tribes;;;;;;;;;;;x
tooltip_feudal_elector_vote_has_disease;[From.GetFirstName] is diseased;;;;;;;;;;;x
