#### Modifiers ####
weak_defensor_fidei;Weak Defensor Fidei;;;;;;;;;;;x
weak_defensor_fidei_desc;Catholic authority is powerful enough to let the Pope not give any additional power to the Defensor Fidei.;;;;;;;;;;;x
strong_defensor_fidei;Strong Defensor Fidei;;;;;;;;;;;x
strong_defensor_fidei_desc;Catholic authority has reached such a low point that the Pope has given considerable latitude to the Defensor Fidei in order to protect the faithful.;;;;;;;;;;;x

#### Defensor Fidei Events ####
EVTDESC_papal_1;Heretics are burning at their stake, infidels are calling off holy wars against catholic realms and the Papacy is prospering. A missive from the Pope has arrived at your court stating that while defending the faithful is a never-ending mission, your implication as Defensor Fidei will now hold less power.;;;;;;;;;;;x
EVTOPTA_papal_1;I serve the faithful and only the faithful.;;;;;;;;;;;x
EVTDESC_papal_2;Difficult times are coming ahead for Catholicism. Heresiarchs are trying to overthrow catholic rulers, followed by thousands of blinded sheeps, and infidels are closer than ever to distabilizing the Papacy, while the latter struggling to keep control. You have been asked by the Pope to march against the faith's ennemies.;;;;;;;;;;;x
EVTOPTA_papal_2;Deus Vult!;;;;;;;;;;;x
EVTDESC_papal_3;The catholic faith has stabilized itself in a kind of status quo. Everything seems to be in control of the Papacy and the local clergies.;;;;;;;;;;;x
EVTOPTA_papal_3;Excellent.;;;;;;;;;;;x

#### Elections ####
tooltip_elector_is_papist;Both the elector and candidate are papists.;;;;;;;;;;;x
tooltip_elector_is_seculares;Both the elector and candidate are seculares.;;;;;;;;;;;x

############## Third Romanism
choose_third_romanist_branch;Choose your affiliation;;;;;;;;;;;;;x
choose_third_romanist_branch_desc;Every follower of Third Romanism has their own affiliation, a group of followers of this religion that shares certain characteristics different from other groups. As a follower of this religion, you can also join one of these groups.;;;;;;;;;;;;;x
EVTDESC_third_romanist_1;Each follower of Third Romanism has their own affiliation, a group of followers of this religion that shares certain characteristics distinct from other groups. Juvenalists are orthodox Third Romanists based on the writings of Mazzini the Prophet; Palladists are Cynics and Subjectivists drawn from Machiavelli; Actionists are worshippers of Hercules Garibaldi, a pre-event hero and warrior; and Majorians are cultists of the imperial side of ancient Rome and the unity of nations in the Mediterranean.;;;;;;;;;;;;;x
EVTOPTA_third_romanist_1;Became Mazzini's most faithful follower;;;;;;;;;;;;;x
EVTOPTB_third_romanist_1;Become Garibaldi's soldier;;;;;;;;;;;;;x
EVTOPTC_third_romanist_1;Join the Prince's disciples;;;;;;;;;;;;;x
EVTOPTD_third_romanist_1;Join the cultists of glorious Roman Republic;;;;;;;;;;;;;x

EVTDESC_third_romanist_2;The words of the Prophet are quite persuasive. In province after province, the people have renounced their old religion in favor of liberty.;;;;;;;;;;;;;x
EVTOPTA_third_romanist_2;Praise [Root.Holder.Religion.GetRandomGodName]!;;;;;;;;;;;;;x
EVTOPTB_third_romanist_2;Mazzini-worshipping heathens;;;;;;;;;;;;;x

third_romanist_conspiracy;The Carbonari Conspiracy;;;;;;;;;;;;;x
third_romanist_conspiracy_desc;Long ago, Rome was ruled not by Christianity under the leadership of the Bishops of Rome, but by a religion few remember today, the religion of the Third Rome, not Papal or Caesarian Rome, but Folk Rome. Mazzini was a pre-event prophet of them. Bavarian King Albrecht defeated them and caused them to be forgotten, but rumors circulate that among Italy's elite there are still people dreaming of the Third Rome and plotting to restore it.;;;;;;;;;;;;;x
third_romanist_conspiracy_rank_1_female;Novizio;;;;;;;;;;;;;x
third_romanist_conspiracy_rank_1_male;Novizio;;;;;;;;;;;;;x
third_romanist_conspiracy_rank_2_female;Cospiratore;;;;;;;;;;;;;x
third_romanist_conspiracy_rank_2_male;Cospiratore;;;;;;;;;;;;;x
third_romanist_conspiracy_rank_3_female;Capo;;;;;;;;;;;;;x
third_romanist_conspiracy_rank_3_male;Capo;;;;;;;;;;;;;x
third_romanist_conspiracy_rank_4_female;Testa;;;;;;;;;;;;;x
third_romanist_conspiracy_rank_4_male;Testa;;;;;;;;;;;;;x
currency_name_monastic_order_third_romanist;Patriottismo;;;;;;;;;;;;;x
cause_local_peasant_revolt;Cause Peasant Revolt;;;;;;;;;;;;;x
cause_local_peasant_revolt_desc;The Carbonari leaders have always had a knack for persuading the common folk to take up arms against their avaricious feudal lords. It's the same with you....;;;;;;;;;;;;;x
cause_local_peasant_revolt_power_desc;Enables the decision to cause peasant revolt in some province, in exchange for [Root.Society.GetCurrencyName];;;;;;;;;;;;;x
EVTDESC_third_romanist_3;Because you joined the Carbonari conspiracy, you became a true citizen of the Third Rome, the People's Rome. Believe in its faith and in no other than that which Mazzini passed on to your spiritual ancestors.;;;;;;;;;;;;;x
EVTOPTA_third_romanist_3;Long live the Third Rome;;;;;;;;;;;;;x

#### Rest of it ###
e_sanctum_imperium;Sanctum Imperium Romanum;;;;;;;;;;;x
IMPERATOR;Imperator;;;;;;;;;;;x
IMPERATOR_FEMALE;Imperatora;;;;;;;;;;;x
italian_bureaucratic_government;Roman Bureaucracy;;;;;;;;;;;x
italian_bureaucratic_government_desc;The system of government in the Sanctum Imperium Romanum is based on a semi-feudal structure of society and the decisive role of the magistrates in enforcing the laws passed by the Emperor and the Senate.;;;;;;;;;;;x
count_italian_bureaucratic_government;Subprefect;;;;;;;;;;;;;x
count_female_italian_bureaucratic_government;Subprefecta;;;;;;;;;;;;;x
county_us_italian_bureaucratic_government;Subprefecture;;;;;;;;;;;;;x
county_of_italian_bureaucratic_government;Subprefecture of;;;;;;;;;;;;;x
duke_us_army_government;Prefect;;;;;;;;;;;;;x
duke_female_us_army_government;Prefecta;;;;;;;;;;;;;x
duchy_us_army_government;Prefecture;;;;;;;;;;;;;x
duchy_of_us_army_government;Prefecture of;;;;;;;;;;;;;x
gov_roman_state;Sacrum Romanum Imperium Nationis Italicae;;;;;;;;;;;;;x
gov_roman_vassal;Imperial Administration;;;;;;;;;;;;;x
GRAND_DUKE;Grand Duke;;;;;;;;;;;;;x
GRAND_DUKE_FEMALE;Grand Duchess;;;;;;;;;;;;;x
restore_hre;Ask the Pope for the Imperial Crown;;;;;;;;;;;;;x
restore_hre_desc;The crown of the Sanctum Imperium Romanum, a mighty empire whose history dates back to the generation of the first Christian martyrs, is empty and no one wears it. You, as the unifier of part of Italy, have sufficient standing to ask the Pope, the traditional custodian of the crown, for your coronation and to establish you as Emperor of All Italians.;;;;;;;;;;;;;x
hre_unify_italy_tooltip;You must also completely control minimally three de iure kingdoms of Sanctum Imperium Romanum;;;;;;;;;;;;;x
EVTNAME_sanctum_imperium.1;Imperium Romanum renovatum...;;;;;;;;;;;;;x
