#Bastille Day Localisations
###ÄNSI###
temple_baron_genesian;Abbot;;;;;;;;;;;;;x
temple_baron_female_genesian;Abbess;;;;;;;;;;;;;x
temple_count_genesian;Presbyter;;;;;;;;;;;;;x
temple_count_female_genesian;Presbyter;;;;;;;;;;;;;x
temple_barony_of_genesian;Monastery of;;;;;;;;;x
temple_county_of_genesian;Province of;;;;;;;;;x
celebrate_dziady;Celebrate Dziady;;;;;;;;;x
celebrate_dziady_desc;Dziady is an old tradition that has flourished again among the Genesians. During the day, people leave food on the graves so that the spirits can eat their meal while they are still on their journey from one body to another, and at night, they are summoned at midnight in the old chapel and prayed for.;;;;;;;;;x
EVTDESC_genesian_1;Dziady is a major folk holiday. To celebrate, you spread the word that it's happening and start organizing food supplies for the occasion.;;;;;;;;;x
EVTOPTA_genesian_1;Time to prepare...;;;;;;;;;x
EVTNAME_genesian_2;Cementaries;;;;;;;;;x
EVTDESC_genesian_2;According to custom, people go to the cemeteries. Although the graves were empty in the morning, they soon fill with food, flowers, and candles. People diligently visit all the graves, ensuring that none are neglected. You do the same, placing food, candles, and flowers at the graves of people who are, or should be, close to you. When you return home, you prepare for the most important ceremonies of the day.;;;;;;;;;x
EVTOPTA_genesian_2;Night is coming...;;;;;;;;;x
EVTNAME_genesian_3;Old Chapel;;;;;;;;;x
EVTDESC_genesian_3;The sun sets, and, as is customary, you go to the old chapel. There, common folk and a sorcerer are waiting for you to perform the ceremony. First, you recite a long prayer in honor of the Spirit of the Times for the success of this holiday, then everyone takes the food they brought and spreads it before the altar. The sorcerer calls you to concentrate and meditate on the mystery of life and death, while he prays over the food and sprinkles it with holy oils.;;;;;;;;;x
EVTOPTA_genesian_3;Quiet everywhere, deaf everywhere...;;;;;;;;;x
EVTDESC_genesian_4;Everything proceeds according to plan. First, the wicked masters are remembered, whose souls, tormented by them in life, are prevented from tasting the gifts of humanity after death. Then, the women, who have never been on earth, cannot descend for this food and will repent on their way to a new body. Finally, the children, who, having not experienced bitterness in life, cannot enter the new life until they experience that bitterness on their way there.;;;;;;;;;x
EVTOPTA_genesian_4;Important truths...;;;;;;;;;x
EVTOPTB_genesian_4;It is magic for the naive...;;;;;;;;;x
EVTDESC_genesian_5;Everything seems to proceed according to plan. First, the wicked masters are remembered, whose souls, tormented by them in life, are prevented from tasting the gifts of humanity after death. Then, the women, who have never been on earth, cannot descend for this food and will repent on their way to a new body. As the sorcerer was finishing the rubric about the girl's penance, he accidentally tapped his staff, and one of the women gathered fell to the ground and began shaking wildly. A few women picked her up and led her away, simultaneously singing hymns praising [Root.Religion.GetRandomGodName]. Then, the ceremony proceeds as usual, punishing and discussing children who will not enter a new body without bitterness in life or after death.;;;;;;;;;x
EVTOPTA_genesian_5;Indeed, this girl, embraced by the spirits of the dead, is...;;;;;;;;;x
EVTOPTB_genesian_5;It was a set up;;;;;;;;;x
EVTDESC_genesian_6;Everything seems to proceed according to plan. First, the wicked masters are remembered, whose souls, tormented by them in life, are prevented from tasting the gifts of humanity after death. Suddenly, one of the candlesticks tips over, and the wooden chapel begins to ignite. Everyone rushes to escape, as the chapel quickly engulfs the flames.;;;;;;;;;x
EVTOPTA_genesian_6;[Root.Religion.GetRandomGodName], help me!;;;;;;;;;x
EVTDESC_genesian_7;Morning comes and the night ends. Dziady is drawing to a close, and you are free to do whatever you want.;;;;;;;;;x
EVTOPTA_genesian_7;I'll pray and go to sleep;;;;;;;;;x
EVTOPTB_genesian_7;Okay, now we go for one...;;;;;;;;;x
go_to_genesian_pilgrimage;Go on Pilgrimage;;;;;;;;;x
go_to_genesian_pilgrimage_desc;Although, according to the Genesians, pilgrimages last a lifetime, and even beyond, certain pilgrimages must be undertaken in their entirety. Paris: the city of exiled bards who fled there from the satanic tsarism that oppressed faith and freedom. Although the tsarism is gone today, the memory of the exiled bards remains, and with it the moral obligation to follow in their footsteps to Paris.;;;;;;;;;x
EVTNAME_genesian_8;Devout Pilgrimage;;;;;;;;;x
EVTDESC_genesian_8;Although no formal obligation has been established, it is accepted that every Genesian, wishing to unite with God more quickly than other souls, should undertake such a pilgrimage for the glory of the Spirit of History and their own. As a pilgrim, you can choose how you wish to journey to this holy city of exiles, bards, and martyrs, the city of ideas and progress, the city of classicism and revolution.;;;;;;;;;x
EVTOPTA_genesian_8;Walking pilgrimage is the best pilgrimage...;;;;;;;;;x
EVTOPTB_genesian_8;I will ride a horse to Paris...;;;;;;;;;x
EVTOPTC_genesian_8;I will go on horseback and with an escort...;;;;;;;;;x
EVTOPTD_genesian_8;Maybe pilgrimage isn't good idea...;;;;;;;;;x
EVTNAME_genesian_9;Paris - Metropolis of Exiles;;;;;;;;;x
EVTDESC_genesian_9;You reach Paris, the metropolis of exile. This is where the exiled bards journeyed on their miserable pilgrimage, to reach this city and from there work for the freedom of their brethren. You pass through the streets; it was here, years ago, that the French overthrew the tyrants who ruled over them. There is so much to see, so many places to visit that expend spiritual energy...;;;;;;;;;x
EVTOPTA_genesian_9;My beloved city...;;;;;;;;;x
EVTNAME_genesian_10;Holy Emperor;;;;;;;;;x
