###ÄNSI###
EVTNAME_overseas_arrive;Strange Ships;;;;;;;;;;;;;x
EVTDESC_overseas_arrive;Reports from [From.County.GetName] speak of strange foreign ships arriving in the harbor. The ships fly unknown flags, and their design is unlike those of the local merchants.\n\nThe foreign ships are larger than normal galleys, and their sails and rigging appear to be in poor condition after a long voyage. They have anchored themselves a respectful distance from the docks, and the local authorities are requesting that you deal with the outsiders if and when they dispatch landing parties.;;;;;;;;;;;;x
EVTOPT_overseas_arrive_audience;This could be important, I will grant them an audience.;;;;;;;;;;;;x
EVTOPT_overseas_arrive_repel;Outsiders are trouble. Drive off their landing parties.;;;;;;;;;;;;x
EVTNAME_overseas_audience;A Foreign Audience;;;;;;;;;;;;;x
EVTDESC_overseas_audience;One of the foreigners steps forward and speaks in an unrefined tongue that seems familar yet foreign. Though his words are stilted and heavily accented, you can understand some of what he says and your court scholars are able to fill in the rest.\n\nThe spokesman explains that they are explorers and merchants, travelling far across the ocean to bring knowledge and wealth to their patron. Recent discoveries and court fashions have spurred a desire for certain goods that have been absent or scarce in their homeland for centuries. He claims you stand to be enriched as well by this lucrative trade. As you speak with him, the other foreigners occasionally converse quietly in a wholly unknown language.;;;;;;;;;;;;x
EVTOPT_overseas_audience_allow;Give them access to our markets and harbors.;;;;;;;;;;;;x
EVTOPT_overseas_audience_tax;They can trade, but they will pay extra tariffs.;;;;;;;;;;;;x
EVTOPT_overseas_audience_deny;I don't deal with infidels. Send them on their way.;;;;;;;;;;;;x
EVTOPT_overseas_audience_seize;These are agents of [Root.Religion.GetRandomEvilGodName]. Kill them and seize their ships.;;;;;;;;;;;;x
foreign_trade;Foreign Trade;;;;;;;;;;;;;x
foreign_trade_desc;Merchants and explorers from distant lands trade in this port, providing a boost to the local economy.;;;;;;;;;;;;x
EVTNAME_overseas_seize;Foreign Plunder;;;;;;;;;;;;;x
EVTDESC_overseas_seize;Your men board the foreign ships, putting their sailors to the sword as they scream for mercy in an incomprehensible tongue. The holds contain chests of silver, fine textiles, glassware, and other valuables.\n\nThe ships themselves are also valuable prizes, with numerous design improvements over the common galley. Your shipwrights will learn new shipbuilding techniques from studying them, while a trove of maps and navigational tools will be useful to your cartographers and sailors.;;;;;;;;;;;;x
EVTNAME_overseas_friendly;Another Offer;;;;;;;;;;;;;x
EVTDESC_overseas_friendly;The foreigners are pleased with your decision, and present you with gifts of silver, colored glass, and smoothly carved white stone.\n\nThe foreign spokesman makes another offer in the words of the distant past: several of his men will remain behind in your court, to study the language and culture of your realm and perhaps teach your scholars their own language. This will ease future communication difficulties and solidify a profitable long-term trading partnership.\n\nYou catch disapproving looks from a few of the more zealous members of your court.;;;;;;;;;;;;x
EVTOPT_overseas_friendly_allow;We have much to learn from each other.;;;;;;;;;;;;x
EVTOPT_overseas_friendly_deny;I won't host foreign spies in my court.;;;;;;;;;;;;x
EVTDESC_overseas_yankee;A Yankee mercantile scholar has joined your court.;;;;;;;;;;;;x
EVTDESC_overseas_dixie;A Dixie mercantile scholar has joined your court.;;;;;;;;;;;;x
EVTDESC_overseas_canuck;A Canuck mercantile scholar has joined your court.;;;;;;;;;;;;x
EVTDESC_overseas_newfie;A Newfie mercantile scholar has joined your court.;;;;;;;;;;;;x
EVTDESC_overseas_west_indian;A Caribbean mercantile scholar has joined your court.;;;;;;;;;;;;x
EVTDESC_overseas_quebecois;A Québécois mercantile scholar has joined your court.;;;;;;;;;;;;x
EVTDESC_overseas_antillais;An Antillais mercantile scholar has joined your court.;;;;;;;;;;;;x
EVTDESC_overseas_mexicano;A Mexicano mercantile scholar has joined your court.;;;;;;;;;;;;x
EVTDESC_overseas_brazilian;A Brasileiro mercantile scholar has joined your court.;;;;;;;;;;;;x
EVTDESC_overseas_caribeno;A Caribeño mercantile scholar has joined your court.;;;;;;;;;;;;x
EVTDESC_overseas_colombiano;A Colombiano mercantile scholar has joined your court.;;;;;;;;;;;;x
EVTDESC_overseas_cajun;A Cajun mercantile scholar has joined your court.;;;;;;;;;;;;x
EVTDESC_overseas_amazonense;An Amazonico mercantile scholar has joined your court.;;;;;;;;;;;;x
EVTDESC_overseas_carouse;The common folk in [Root.County.GetName] are in an uproar about a group of foreign merchants carousing and flouting the law. The local authorities have turned a blind eye to their crimes, which reportedly include assault and rape. If something is not done soon, the situation may escalate.;;;;;;;;;;;;x
EVTOPT_overseas_carouse_shutdown;Shut down the foreign merchants.;;;;;;;;;;;;x
EVTOPT_overseas_carouse_localauth;Force the local lords to take responsibility.;;;;;;;;;;;;x
EVTOPT_overseas_carouse_ignore;This doesn't seem like my problem.;;;;;;;;;;;;x
EVTDESC_overseas_shipwreck;There are rumors of a foreign merchant shipwreck off the coast of [Root.County.GetName]. According to the tale, the wrecked ship is from a distant land far across the ocean.;;;;;;;;;;;;x
EVTOPT_overseas_shipwreck_survivors;The survivors can join my court.;;;;;;;;;;;;x
EVTOPT_overseas_shipwreck_ignore;Let them fend for themselves.;;;;;;;;;;;;x
EVTOPT_overseas_shipwreck_salvage;No survivors means I keep the salvage.;;;;;;;;;;;;x
EVTDESC_overseas_newtrades;Foreign merchants have anchored their ships off the coast of [Root.County.GetName] and requested permission to begin trading though the local port. Given your dynasty's established partnership with other foreign merchants, they expect you will allow them to do so.;;;;;;;;;;;;x
EVTOPT_overseas_newtrades_rep;Yes, and they may send a representative to my court.;;;;;;;;;;;;x
EVTOPT_overseas_newtrades_tariff;Yes, more trade means more tariffs.;;;;;;;;;;;;x
EVTOPT_overseas_newtrades_reject;No, we have enough outsiders already.;;;;;;;;;;;;x
EVTDESC_overseas_tariffs;Silver and exotic foreign goods are filling the coffers of local merchants in [Root.County.GetName]. Your burghers are pleased with the expanded trade, not to mention the influx of tariffs into the royal treasury.;;;;;;;;;;;;x
EVTOPT_overseas_tariffs;Excellent!;;;;;;;;;;;;x
EVTDESC_overseas_innovate;Your scholars report that [From.GetTitledFirstName], a [From.Culture.GetName] merchant residing at your court, has a number of interesting foreign ideas. They wish to spend time investigating and adapting [From.GetPossPronoun] ideas to benefit the realm.;;;;;;;;;;;;x
EVTOPT_overseas_innovate_econ;Focus on the productive ideas.;;;;;;;;;;;;x
EVTOPT_overseas_innovate_cult;Focus on the artistic ideas.;;;;;;;;;;;;x
EVTOPT_overseas_innovate_reject;[From.Culture.GetName] ideas have no place in my realm!;;;;;;;;;;;;x
EVTDESC_overseas_insult;[From.GetTitledFirstName], a [From.Culture.GetName] scholar residing at your court, gravely insulted you in front of several other courtiers. [From.GetSubjectPronounCap] is not yet fully comfortable with [Root.Culture.GetName] language or customs, so it may have been a simple cultural misunderstanding.;;;;;;;;;;;;x
EVTOPT_overseas_insult_forgive;I'm sure it was just a mistake.;;;;;;;;;;;;x
EVTOPT_overseas_insult_punish;Mistake or not, [From.GetSubjectPronoun] be punished.;;;;;;;;;;;;x
